School,SchoolHyphen,Latitude,Longitude
SOLORIO HIGH SCHOOL,SOLORIO-HIGH-SCHOOL,41.79520056,-87.71105882
SOR JUANA,SOR-JUANA,41.79007117,-87.72635
SOUTH LOOP,SOUTH-LOOP,41.86687451,-87.628615
SOUTH SHORE ELEMENTARY SCHOOL,SOUTH-SHORE-ELEMENTARY-SCHOOL,41.76775511,-87.5903961
SOUTH SHORE INTL HIGH SCHOOL,SOUTH-SHORE-INTL-HIGH-SCHOOL,41.75879166,-87.57635264
SOUTHSIDE HIGH SCHOOL,SOUTHSIDE-HIGH-SCHOOL,41.75985243,-87.67594677
SPENCER,SPENCER,41.8848764,-87.75044473
SPRY ELEMENTARY SCHOOL,SPRY-ELEMENTARY-SCHOOL,41.84774672,-87.70018447
SPRY HIGH SCHOOL,SPRY-HIGH-SCHOOL,41.84776169,-87.69894611
STAGG,STAGG,41.75892473,-87.64921669
STEINMETZ HIGH SCHOOL,STEINMETZ-HIGH-SCHOOL,41.93563359,-87.78351523
STEM,STEM,41.86857588,-87.66496913
STEVENSON,STEVENSON,41.74710688,-87.73166568
STOCK,STOCK,42.01689164,-87.81419465
STONE,STONE,41.99535905,-87.68479279
STOWE,STOWE,41.91193808,-87.7133175
SUDER,SUDER,41.88321452,-87.67763611
SULLIVAN HIGH SCHOOL,SULLIVAN-HIGH-SCHOOL,42.00268756,-87.66919215
SUMNER,SUMNER,41.87082838,-87.73352395
SUTHERLAND,SUTHERLAND,41.71144507,-87.67682117
SWIFT,SWIFT,41.98913906,-87.65829608
TAFT HIGH SCHOOL,TAFT-HIGH-SCHOOL,41.98296099,-87.79154725
TALCOTT,TALCOTT,41.89240461,-87.67372272
TALMAN,TALMAN,41.79404805,-87.69026084
TANNER,TANNER,41.76067264,-87.60679104
TARKINGTON,TARKINGTON,41.76440708,-87.70644465
TAYLOR,TAYLOR,41.71547038,-87.53297077
TELPOCHCALLI,TELPOCHCALLI,41.84794743,-87.69600588
THOMAS,THOMAS,41.82777491,-87.67754185
THORP J,THORP-J,41.73332424,-87.54427998
THORP O,THORP-O,41.94857131,-87.77763129
TILDEN HIGH SCHOOL,TILDEN-HIGH-SCHOOL,41.80751007,-87.64296648
TILL,TILL,41.77542384,-87.60935721
TILTON,TILTON,41.88410224,-87.73056638
TONTI,TONTI,41.78752323,-87.70817918
TURNER-DREW,TURNER-DREW,41.72560922,-87.63016448
TWAIN,TWAIN,41.7990464,-87.7589284
UPLIFT HIGH SCHOOL,UPLIFT-HIGH-SCHOOL,41.96554746,-87.65247335
VANDERPOEL,VANDERPOEL,41.72081703,-87.66555862
VAUGHN HIGH SCHOOL,VAUGHN-HIGH-SCHOOL,41.9603638,-87.76466317
VICK,VICK,41.68819084,-87.6856766
VOLTA,VOLTA,41.971634,-87.72460522
VON LINNE,VON-LINNE,41.94000928,-87.70263467
VON STEUBEN HIGH SCHOOL,VON-STEUBEN-HIGH-SCHOOL,41.97318505,-87.71338625
WACKER,WACKER,41.7161933,-87.64804432
WADSWORTH,WADSWORTH,41.7734779,-87.60101811
WALSH,WALSH,41.85483575,-87.64808617
WARD J,WARD-J,41.84398009,-87.63535579
WARD L,WARD-L,41.89323561,-87.71879729
WARREN,WARREN,41.72676291,-87.57535255
WASHINGTON G ELEMENTARY SCHOOL,WASHINGTON-G-ELEMENTARY-SCHOOL,41.68813148,-87.5360153
WASHINGTON H ELEMENTARY SCHOOL,WASHINGTON-H-ELEMENTARY-SCHOOL,41.72853414,-87.59625662
WASHINGTON HIGH SCHOOL,WASHINGTON-HIGH-SCHOOL,41.68813694,-87.5375703
WATERS,WATERS,41.9643654,-87.69133251
WEBSTER,WEBSTER,41.86991586,-87.72752437
WELLS ELEMENTARY SCHOOL,WELLS-ELEMENTARY-SCHOOL,41.82735527,-87.61977966
WELLS HIGH SCHOOL,WELLS-HIGH-SCHOOL,41.89899471,-87.66748287
WENTWORTH,WENTWORTH,41.7650759,-87.65820484
WEST PARK,WEST-PARK,41.90690721,-87.7324431
WEST RIDGE,WEST-RIDGE,42.002959,-87.70591721
WESTCOTT,WESTCOTT,41.74886823,-87.63475052
WESTINGHOUSE HIGH SCHOOL,WESTINGHOUSE-HIGH-SCHOOL,41.8899772,-87.70733231
WHISTLER,WHISTLER,41.68390701,-87.65538382
WHITE,WHITE,41.67230941,-87.65053854
WHITNEY,WHITNEY,41.84008043,-87.72554564
WHITTIER,WHITTIER,41.85048089,-87.67339165
WILDWOOD,WILDWOOD,42.00749067,-87.77834486
WILLIAMS HIGH SCHOOL,WILLIAMS-HIGH-SCHOOL,41.8061176,-87.62502998
WOODLAWN,WOODLAWN,41.77336553,-87.594392
WOODSON,WOODSON,41.8144988,-87.60841877
WORLD LANGUAGE HIGH SCHOOL,WORLD-LANGUAGE-HIGH-SCHOOL,41.83439662,-87.73529222
YATES,YATES,41.91503855,-87.70028031
YORK HIGH SCHOOL,YORK-HIGH-SCHOOL,41.84253335,-87.69526102
YOUNG ELEMENTARY SCHOOL,YOUNG-ELEMENTARY-SCHOOL,41.90679057,-87.76714285
YOUNG HIGH SCHOOL,YOUNG-HIGH-SCHOOL,41.87860253,-87.66423334
ZAPATA,ZAPATA,41.8413938,-87.73431332
