School,Latitude,Longitude,mer_coords_x,mer_coords_y,Q3 SY20,Q4 SY20,Summer SY20,Q1 SY21,Q2 SY21,20210115
BURR,41.91235791,-87.6686606,-9759230.656940397,5147860.11102194,0,0,0,0,1,1
BURROUGHS,41.82886791,-87.69245663,-9761879.618376905,5135379.057063146,0,0,0,0,3,3
BYRNE,41.79503097,-87.79154448,-9772910.02776899,5130325.354590986,0,1,1,1,1,1
CALDWELL,41.73922636,-87.58072903,-9749442.1586642,5121996.504987916,0,0,1,0,0,0
CALMECA,41.82437733,-87.71165364,-9764016.61990508,5134708.214781914,0,0,0,0,0,0
CAMERON,41.90379212,-87.71792664,-9764714.926472558,5146578.846463685,0,2,0,0,0,0
CAMRAS,41.93493062,-87.77012726,-9770525.873218505,5151237.344836722,0,0,0,0,1,1
CANTY,41.94800703,-87.8292957,-9777112.474168908,5153194.327880726,1,0,0,1,1,1
CARDENAS,41.84848777,-87.71601741,-9764502.392199434,5138310.59712788,0,0,0,0,0,0
CARNEGIE,41.78336832,-87.59079501,-9750562.698608698,5128584.103908735,0,0,0,0,0,0
CARROLL,41.74251663,-87.69601208,-9762275.408804702,5122487.377760898,0,0,0,0,0,0
CARSON,41.79327214,-87.68779954,-9761361.193933748,5130062.739565105,0,0,0,0,2,2
CARTER,41.78982791,-87.62245275,-9754086.822400464,5129548.4904471,0,0,0,0,0,0
CARVER G,41.65370212,-87.59951563,-9751533.473914165,5109246.027128684,0,0,0,2,1,1
CARVER MILITARY HIGH SCHOOL,41.65628995,-87.59062039,-9750543.259542398,5109631.588989981,0,0,0,1,2,2
CASALS,41.90450276,-87.71423365,-9764303.824875263,5146685.1379173985,0,0,0,0,0,0
CASSELL,41.68734706,-87.70321549,-9763077.28908868,5114259.998176309,0,0,0,0,1,1
CATHER,41.88294992,-87.69918701,-9762628.840829752,5143462.004357815,0,2,0,1,0,0
CHALMERS,41.86643525,-87.69525937,-9762191.617889993,5140993.0424838355,0,0,0,0,1,1
CHAPPELL,41.9758943,-87.68326359,-9760856.25414357,5157369.210750671,0,0,0,0,6,6
CHASE,41.91799265,-87.69456225,-9762114.015175767,5148703.0458547175,0,0,0,1,1,1
CHAVEZ,41.80714283,-87.66603693,-9758938.591385277,5132134.01061086,0,0,0,0,2,2
CHICAGO ACADEMY ELEMENTARY SCHOOL,41.94305592,-87.7781868,-9771423.05763945,5152453.309877281,0,0,0,0,1,1
CHICAGO ACADEMY HIGH SCHOOL,41.94305449,-87.77684657,-9771273.863164553,5152453.096001957,0,0,0,0,0,0
CHICAGO AGRICULTURE HIGH SCHOOL,41.69122074,-87.71776967,-9764697.453485256,5114837.446608968,0,0,0,0,0,0
CHICAGO MILITARY HIGH SCHOOL,41.83055498,-87.61921554,-9753726.457867773,5135631.098680971,0,0,0,0,0,0
CHICAGO VOCATIONAL HIGH SCHOOL,41.73717393,-87.57326752,-9748611.546948703,5121690.318797426,0,0,0,0,4,4
CHOPIN,41.89671269,-87.68893676,-9761487.788599867,5145520.040447043,0,0,0,0,1,1
CHRISTOPHER,41.80165863,-87.685607,-9761117.12148065,5131315.015764076,0,0,0,4,0,0
CLAREMONT,41.77751051,-87.6810612,-9760611.084742503,5127709.642378094,0,0,0,0,0,0
CLARK ELEMENTARY SCHOOL,41.86781257,-87.77041753,-9770558.185861364,5141198.928399395,0,0,0,1,1,1
CLARK HIGH SCHOOL,41.87288501,-87.75332487,-9768655.440094506,5141957.2118924055,0,0,0,1,0,0
CLAY,41.65455815,-87.5446136,-9745421.80738882,5109373.565820617,0,0,0,2,0,0
CLEMENTE HIGH SCHOOL,41.90262579,-87.68690615,-9761261.74139394,5146404.401648808,1,0,0,0,1,1
CLEVELAND,41.95204212,-87.70644253,-9763436.52122413,5153798.291224277,0,0,0,0,1,1
CLINTON,41.99254136,-87.69835995,-9762536.773520134,5159862.24134695,0,0,0,1,0,0
CLISSOLD,41.69302601,-87.68089679,-9760592.782650964,5115106.568184436,0,0,0,1,0,0
COLEMON,41.67750545,-87.65811084,-9758056.262482133,5112793.0713838395,0,0,0,0,0,0
COLES,41.74141281,-87.56596977,-9747799.165818345,5122322.6970872795,0,0,0,0,0,0
COLLINS HIGH SCHOOL,41.86414857,-87.70204159,-9762946.610860389,5140651.230886938,0,0,0,0,0,0
COLUMBIA EXPLORERS,41.81106861,-87.70419859,-9763186.727597015,5132720.317597062,0,0,0,2,0,0
COLUMBUS,41.89956578,-87.68193805,-9760708.695417995,5145946.736641142,0,0,0,0,0,0
COOK,41.74523702,-87.65977459,-9758241.470389841,5122893.250267737,0,0,0,2,2,2
COONLEY,41.9555532,-87.6837653,-9760912.104117708,5154323.851639834,0,0,0,0,0,0
COOPER,41.85603119,-87.66722708,-9759071.078300366,5139437.951494321,0,0,1,0,1,1
CORKERY,41.84560242,-87.73119287,-9766191.716494266,5137879.420801745,0,1,0,0,2,2
CORLISS HIGH SCHOOL,41.70665962,-87.60121588,-9751722.74426141,5117139.256766996,0,0,0,0,0,0
COURTENAY,41.96230777,-87.66385296,-9758695.472829998,5155335.002175627,0,0,0,0,2,2
CRANE MEDICAL HIGH SCHOOL,41.87694744,-87.68330135,-9760860.456975814,5142564.553035151,0,0,0,1,1,1
CROWN,41.85266349,-87.71247015,-9764107.513386419,5138934.636154522,0,0,0,1,0,0
CUFFE,41.74245163,-87.65363345,-9757557.841508275,5122477.680337795,0,0,0,1,0,0
CULLEN,41.70033514,-87.61124446,-9752839.120877216,5116196.262277581,0,0,1,1,0,0
CURIE HIGH SCHOOL,41.80306021,-87.72204165,-9765173.008345095,5131524.317200607,0,0,0,1,2,2
CURTIS,41.6854184,-87.62165261,-9753997.75074106,5113972.507608734,0,0,0,1,0,0
